Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,LEAF1,Ethernet3,192.168.103.1/31,spine,SPINE1,Ethernet3,192.168.103.0/31
l3leaf,LEAF1,Ethernet4,192.168.103.3/31,spine,SPINE2,Ethernet3,192.168.103.2/31
l3leaf,LEAF1,Ethernet5,192.168.103.5/31,spine,SPINE3,Ethernet3,192.168.103.4/31
l3leaf,LEAF1,Ethernet6,192.168.103.7/31,spine,SPINE4,Ethernet3,192.168.103.6/31
l3leaf,LEAF2,Ethernet3,192.168.103.9/31,spine,SPINE1,Ethernet4,192.168.103.8/31
l3leaf,LEAF2,Ethernet4,192.168.103.11/31,spine,SPINE2,Ethernet4,192.168.103.10/31
l3leaf,LEAF2,Ethernet5,192.168.103.13/31,spine,SPINE3,Ethernet4,192.168.103.12/31
l3leaf,LEAF2,Ethernet6,192.168.103.15/31,spine,SPINE4,Ethernet4,192.168.103.14/31
l3leaf,LEAF3,Ethernet3,192.168.103.17/31,spine,SPINE1,Ethernet5,192.168.103.16/31
l3leaf,LEAF3,Ethernet4,192.168.103.19/31,spine,SPINE2,Ethernet5,192.168.103.18/31
l3leaf,LEAF3,Ethernet5,192.168.103.21/31,spine,SPINE3,Ethernet5,192.168.103.20/31
l3leaf,LEAF3,Ethernet6,192.168.103.23/31,spine,SPINE4,Ethernet5,192.168.103.22/31
l3leaf,LEAF4,Ethernet3,192.168.103.25/31,spine,SPINE1,Ethernet6,192.168.103.24/31
l3leaf,LEAF4,Ethernet4,192.168.103.27/31,spine,SPINE2,Ethernet6,192.168.103.26/31
l3leaf,LEAF4,Ethernet5,192.168.103.29/31,spine,SPINE3,Ethernet6,192.168.103.28/31
l3leaf,LEAF4,Ethernet6,192.168.103.31/31,spine,SPINE4,Ethernet6,192.168.103.30/31
l3leaf,LEAF5,Ethernet3,192.168.103.33/31,spine,SPINE1,Ethernet7,192.168.103.32/31
l3leaf,LEAF5,Ethernet4,192.168.103.35/31,spine,SPINE2,Ethernet7,192.168.103.34/31
l3leaf,LEAF5,Ethernet5,192.168.103.37/31,spine,SPINE3,Ethernet7,192.168.103.36/31
l3leaf,LEAF5,Ethernet6,192.168.103.39/31,spine,SPINE4,Ethernet7,192.168.103.38/31
l3leaf,LEAF6,Ethernet3,192.168.103.41/31,spine,SPINE1,Ethernet8,192.168.103.40/31
l3leaf,LEAF6,Ethernet4,192.168.103.43/31,spine,SPINE2,Ethernet8,192.168.103.42/31
l3leaf,LEAF6,Ethernet5,192.168.103.45/31,spine,SPINE3,Ethernet8,192.168.103.44/31
l3leaf,LEAF6,Ethernet6,192.168.103.47/31,spine,SPINE4,Ethernet8,192.168.103.46/31
